node1,node2,simRate,merge
infected individuals,Individuals,0.804088264,
the simplest models,The susceptible model,0.80377948,
a stochastic process for the transmission rate,a stochastic model of genealogies,0.803139363,
state variables with a system of,part of the state of the art,0.802038783,
birth of in this model,that model times,0.801974244,
birth of in this model,interest in the total number of people,0.801705315,
a record of the number of infection,the probability of all paths,0.801441365,
this,this process,0.800624227,
The susceptible ( SIS ) model,the method of ( Cox ),0.8005275,
the number of recovery events,The following,0.799184183,
birth of in this model,part of the state of the art,0.798799763,
one of the simplest models,a record of the number of infection,0.79872847,
the minimum value of the transmission rate Beta,the effect of,0.798112743,
The model in a closed population,The implementation in this section,0.798040146,
This model,The susceptible model,0.797983193,
the process,The following,0.797053429,
a special case of a general model,a simple SIR model,0.795893395,
the effective contact rates,the rate of transmission between individuals in the population,0.795621151,
forecasting of in,interest in the total number of people,0.795340826,
outflow of each patch,j flow from patch,0.795325784,
the effect of,the number of recovery events,0.795253416,
One way,there,0.795198349,
There,One way,0.795198349,
one of the simplest models,that model times,0.794422494,
a special case of a general model,part of the state of the art,0.793381174,
the model of,the SIR model,0.793001649,
state variables with a system of,the probability of all paths,0.792481765,
the network model of ,The susceptible model,0.791833974,
a special case of a general model,a stochastic process for the transmission rate,0.791122292,
the process,the state of our model,0.791080316,
the process,The implementation in this section,0.790926292,
The models,a model,0.789968546,
state variables with a system of,interest in the total number of people,0.789476356,
a special case of a general model,a stochastic model of genealogies,0.789118123,
the rate of transmission between individuals in the population,large numbers of,0.788692552,
numerous extensions to the coalescent,the coalescent,0.788671795,
one of the simplest models,interest in the total number of people,0.788445024,
the coalescent,the Kingman coalescent,0.788318082,
The model in a closed population,a model,0.788186798,
the efficacy of interventions,the rate of transmission between individuals in the population,0.787504901,
a constant total population size ,interest in the total number of people,0.787312244,
they,there,0.787105429,
There,they,0.787105429,
the process,the system,0.78706921,
the effect of,The following,0.786720326,
compartmental models,models,0.786717276,
the effect of,the number of infection events,0.786316783,
the state of our model,the system,0.785710679,
The details,The following,0.78474202,
the effective contact rates,different rates,0.784299498,
This model,the SIR model,0.783570294,
all elements of C,the probability of all paths,0.783407148,
the minimum value of the transmission rate Beta,the state of our model,0.783228528,
One way,the established ways,0.783094353,
many SEIR models,that model times,0.783041131,
the rate of transmission between individuals in the population,the states,0.783031776,
the rate of transmission between individuals in the population,forecasting of in,0.783019943,
the form S,alternative forms for the process,0.782316812,
the elements on ,The implementation in this section,0.782279013,
the effect of,The implementation in this section,0.78196326,
one of the simplest models,alternative forms for the process,0.781828398,
one of the simplest models,the number of susceptible individuals,0.781230476,
alternative forms for the process,part of the state of the art,0.781021324,
outflow of each patch,the probability of all paths,0.780795167,
alternative forms for the process,efficient methods for,0.780756507,
the form S,part of the state of the art,0.780737941,
a stochastic process for the transmission rate,a record of the number of infection,0.780669344,
that model times,a model,0.780132462,
the probability of all paths,numerous extensions to the coalescent,0.779907571,
R recovered D,D,0.77975491,
We,there,0.779337394,
we,There,0.779337394,
There,We,0.779337394,
we,there,0.779337394,
the minimum value of the transmission rate Beta,the number of recovery events,0.77923144,
The model in a closed population,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.779090856,
This section,this,0.77893075,
one of the simplest models,the rate of transmission between individuals in the population,0.778785841,
the state of our model,The following,0.778692178,
The model in a closed population,The susceptible model,0.778189831,
state variables with a system of,alternative forms for the process,0.778136265,
the process,the effect of,0.776876099,
the established ways,The following,0.776811019,
a model,The susceptible model,0.776199604,
one of the simplest models,other models,0.77614138,
a record of the number of infection,one infection event,0.776129223,
state variables with a system of,a stochastic model of genealogies,0.775357599,
a stochastic process for these parameters,this process,0.775327127,
one of the simplest models,state variables with a system of,0.77502034,
the network model of ,the system,0.774773539,
the method,the system,0.774565089,
The models,the SIR model,0.774130578,
a constant total population size ,the rate of transmission between individuals in the population,0.77410801,
all elements on the row,The implementation in this section,0.773952698,
the number of parasites per host,large numbers of,0.773687358,
all elements of C,part of the state of the art,0.773565505,
the number of infection events,The following,0.773531504,
one of the simplest models,many SEIR models,0.773491016,
all elements on the row,the effect of,0.772829156,
There,it,0.7727185,
there,it,0.7727185,
the significant assumptions,the established ways,0.77259982,
a simple SIR model,a way,0.772556697,
The implementation in this section,the established ways,0.772398447,
This model,the network model of ,0.772077191,
one of the simplest models,two metapopulation SEIR models,0.772053592,
the method of ( Cox ),an example (,0.771615896,
birth of in this model,forecasting of in,0.771382021,
The probabilities,the significant assumptions,0.771367052,
a special case of a general model,interest in the total number of people,0.771278464,
The susceptible model,the state of our model,0.771132518,
a stochastic process for these parameters,the probability of all paths,0.770844237,
an clear [ wiki  Newick_format ) of this grammar,another language  things,0.770329651,
the simplest models,the network model of ,0.770225629,
a model,a stochastic model of genealogies,0.770190772,
two metapopulation SEIR models,SEIRD model ,0.769845308,
the number of susceptible individuals,part of the state of the art,0.769777718,
one of the simplest models,a stochastic process for the transmission rate,0.769595481,
the efficacy of interventions,part of the state of the art,0.769522388,
the minimum value of the transmission rate Beta,the number of infection events,0.769408437,
all elements on the row,the number of recovery events,0.768949835,
an clear [ wiki  Newick_format ) of this grammar,an example (,0.768799563,
one of the simplest models,a stochastic process for these parameters,0.768687792,
the number of infection events,the dynamics of the Ebola virus,0.768568476,
the simplest models,the state of our model,0.76833223,
birth of in this model,state variables with a system of,0.767853461,
This model,These models,0.767758537,
This model,these models,0.767758537,
One way,you,0.767506213,
the process,the established ways,0.767097147,
efficient methods for,the method,0.766883856,
the effective contact rates,a stochastic process for the transmission rate,0.766860742,
it,a way,0.766706976,
a way,another language  things,0.766386786,
the minimum value of the transmission rate Beta,The probabilities,0.765526516,
birth of in this model,a stochastic model of genealogies,0.765379796,
two metapopulation SEIR models,that model times,0.765326812,
a constant total population size ,large numbers of,0.765325294,
the rate of transmission between individuals in the population,the state,0.765292101,
Model description,The models,0.765234857,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the number of infection events,0.765166009,
all elements on the row,The following,0.765114171,
the network model of ,a model,0.765113407,
The model,these models,0.764947705,
The model,These models,0.764947705,
a special case of a general model,that model times,0.76493611,
The model in a closed population,a way,0.764934838,
the number of susceptible individuals,numerous extensions to the coalescent,0.764912938,
Cross - coupling between patches,Equations Cross - coupling,0.764764903,
the form S,a record of the number of infection,0.764718144,
a stochastic process for these parameters,efficient methods for,0.764002906,
the elements on ,The following,0.76356165,
state variables with a system of,the number of susceptible individuals,0.76335393,
R,I R We,0.76318642,
the effective contact rates,alternative forms for the process,0.76312992,
a stochastic process for the transmission rate,this process,0.76308473,
The implementation in this section,the number of recovery events,0.762761739,
many SEIR models,The model,0.762031408,
one of the simplest models,numerous extensions to the coalescent,0.761971435,
the number of infection events,the state of our model,0.761752997,
the model of,the minimum value of the transmission rate Beta,0.761296503,
This model,the state of our model,0.760823472,
the elements on ,the established ways,0.760117563,
that model times,other models,0.759794809,
the model of,The implementation in this section,0.759739,
the simplest models,This model,0.759550214,
a stochastic process for the transmission rate,the probability of all paths,0.75850709,
all elements on the row,the state of our model,0.758502851,
large numbers of,the probability of all paths,0.758486918,
forecasting of in,a record of the number of infection,0.758423311,
the efficacy of interventions,a record of the number of infection,0.757890674,
the process,the number of recovery events,0.757671882,
the minimum value of the transmission rate Beta,the network model of ,0.757171612,
SEIRD model ,other models,0.756409966,
alternative forms for the process,a record of the number of infection,0.756120798,
the elements on ,the state of our model,0.7552059,
The implementation in this section,the system,0.75519128,
The susceptible ( SIS ) model,SIRS ( susceptible ) infection dynamics in a infinite population of households,0.754655324,
a special case of a general model,alternative forms for the process,0.754353392,
a special case of a general model,a stochastic process for these parameters,0.754328314,
forecasting of in,the probability of all paths,0.754166745,
state variables with a system of,the states,0.753107363,
the flow from patch,between patch contact,0.752928833,
The model in a closed population,the minimum value of the transmission rate Beta,0.752630996,
the effect of,the established ways,0.752565165,
deterministic  time analogues of  model passage times,the state of our model,0.752209257,
The susceptible ( SIS ) model,The susceptible model,0.752029442,
interest in the total number of people,the states,0.751893768,
These features,These models,0.751602546,
These features,these models,0.751602546,
the efficacy of interventions,the number of susceptible individuals,0.751429756,
all elements of C,interest in the total number of people,0.751260488,
the number of recovery events,the established ways,0.751171495,
a model,the SIR model,0.750645456,
a special case of a general model,the rate of transmission between individuals in the population,0.750601505,
one of the simplest models,the SIR model,0.749981444,
The susceptible ( SIS ) model,an example (,0.749673565,
deterministic  time analogues of  model passage times,the minimum value of the transmission rate Beta,0.749585455,
The model in a closed population,The models,0.74944505,
a way,a language,0.749201929,
that model times,the SIR model,0.74904713,
The model in a closed population,the number of recovery events,0.748988142,
a capita rate Gamma,Sigma rate of breakdown,0.748947028,
the model of,the process,0.748795899,
the network model of ,the number of recovery events,0.748584694,
the effective contact rates,the number of susceptible individuals,0.748101793,
one infection event,a recovery event,0.748020708,
all elements of C,state variables with a system of,0.747979196,
these models,The susceptible model,0.74785212,
These models,The susceptible model,0.74785212,
the number of parasites per host,state variables with a system of,0.747760212,
the number of susceptible individuals,alternative forms for the process,0.747384076,
the rate of transmission between individuals in the population,alternative forms for the process,0.747215149,
The model in a closed population,the effect of,0.746876209,
One way,they,0.746757471,
state variables with a system of,a way,0.7467318,
all elements on the row,One way,0.746681301,
The model in a closed population,the established ways,0.746457651,
We,you,0.746166639,
we,you,0.746166639,
the model of,the system,0.746122183,
the model of,the number of recovery events,0.746037228,
the network model of ,the effect of,0.745994626,
SEIRD model ,These models,0.745839727,
model,these models,0.745839727,
SEIRD model ,these models,0.745839727,
model,These models,0.745839727,
model,many SEIR models,0.745407166,
many SEIR models,SEIRD model ,0.745407166,
This model,many SEIR models,0.745242215,
different rates,the rate of transmission between individuals in the population,0.744962729,
each time step,this process,0.744840936,
model,parametric models,0.744251826,
SEIRD model ,parametric models,0.744251826,
the model of,deterministic  time analogues of  model passage times,0.744133217,
many SEIR models,The susceptible model,0.743835703,
parameters as transmission rates,these parameters,0.743785355,
the network model of ,The implementation in this section,0.743770657,
alternative forms for the process,numerous extensions to the coalescent,0.742977514,
the number of infection events,the established ways,0.742886062,
all elements on the row,the number of infection events,0.742452924,
a record of the number of infection,a way,0.742447146,
the efficacy of interventions,alternative forms for the process,0.742124408,
model,The susceptible model,0.742023263,
SEIRD model ,The susceptible model,0.742023263,
the efficacy of interventions,interest in the total number of people,0.741935755,
the efficacy of interventions,state variables with a system of,0.741893365,
a constant total population size ,a record of the number of infection,0.741780903,
infected individuals,the number of susceptible individuals,0.741718408,
a stochastic process for the transmission rate,interest in the total number of people,0.741663459,
the effect of,the dynamics of the Ebola virus,0.741586203,
the elements on ,the model of,0.741340774,
forecasting of in,part of the state of the art,0.74102667,
all elements of C,a record of the number of infection,0.74095315,
the SIR model,the state of our model,0.740939629,
The model in a closed population,the number of infection events,0.740823388,
the number of parasites per host,the probability of all paths,0.740630473,
each time step,a stochastic process for the transmission rate,0.740568831,
a record of the number of infection,the states,0.740313368,
a stochastic process for the transmission rate,efficient methods for,0.74023423,
the number of susceptible individuals,an exposed infectious class,0.74010391,
this,this code,0.739894968,
a special case of a general model,the form S,0.739613145,
interest in the total number of people,the state,0.739477902,
the model of,The following,0.739357896,
rate case fatality ratio ( proportion rate (,the minimum value of the transmission rate Beta,0.739276157,
the network model of ,the established ways,0.739262103,
the number of parasites per host,part of the state of the art,0.738770939,
the method of ( Cox ),the method,0.738543261,
one,it,0.738491335,
which,it,0.738461011,
birth of in this model,a model,0.738409062,
birth of in this model,the probability of all paths,0.737582484,
This model,The model in a closed population,0.737270827,
the elements on ,the number of recovery events,0.737237789,
a record of the number of infection,the state,0.737198972,
there,one,0.73710779,
There,one,0.73710779,
migration between patches,between patch contact,0.736868821,
the efficacy of interventions,the probability of all paths,0.736596265,
the minimum value of the transmission rate Beta,The implementation in this section,0.736528493,
alternative forms for the process,interest in the total number of people,0.735980003,
that model times,a stochastic model of genealogies,0.735743098,
outflow of each patch,state variables with a system of,0.7355863,
alternative forms for the process,the probability of all paths,0.73542482,
the minimum value of the transmission rate Beta,the system,0.7352443,
all elements on the row,the established ways,0.735238304,
One way,the state of our model,0.735171529,
the model of,the established ways,0.734988127,
one of the simplest models,large numbers of,0.734784852,
one of the simplest models,a simple SIR model,0.734770583,
a special case of a general model,a recovery event,0.734718886,
each time step,a stochastic process for these parameters,0.734417603,
The implementation in this section,the method,0.734372645,
parametric models,these models,0.734128571,
parametric models,These models,0.734128571,
Beta rate of rate,the rate of transmission between individuals in the population,0.733655561,
the effect of,the system,0.733313338,
a special case of a general model,an clear [ wiki  Newick_format ) of this grammar,0.733300796,
SEIRD model ,compartmental models,0.73314367,
the flow from patch,the probability of all paths,0.733030776,
two metapopulation SEIR models,a model,0.732836457,
The implementation in this section,the number of infection events,0.732739123,
birth of in this model,a stochastic process for the transmission rate,0.732666048,
parametric models,The models,0.732343015,
The implementation in this section,The details,0.73229523,
different rates,Beta rate of rate,0.732211846,
the established ways,a way,0.732105775,
SIRS ( susceptible ) infection dynamics in a infinite population of households,rate case fatality ratio ( proportion rate (,0.731842821,
the number of recovery events,the significant assumptions,0.731832212,
the system,the established ways,0.731357658,
infection,one infection event,0.731169908,
SEIRD model ,that model times,0.731095629,
state variables with a system of,large numbers of,0.730823344,
that model times,a simple SIR model,0.730819629,
One way,We,0.730767854,
we,One way,0.730767854,
the number of susceptible individuals,the states,0.73060574,
the state of our model,the significant assumptions,0.730555354,
The model in a closed population,the system,0.730146272,
The details,the state of our model,0.730140166,
birth of in this model,the number of susceptible individuals,0.730077617,
Model description,the model of,0.729956081,
a constant total population size ,state variables with a system of,0.729912445,
each time step,the probability of all paths,0.729885737,
the probability of all paths,the states,0.7296148,
outflow of each patch,between patch contact,0.729550269,
outflow of each patch,the rate of transmission between individuals in the population,0.729258176,
the elements on ,the process,0.72892974,
the simplest models,the SIR model,0.728762566,
the number of parasites per host,one infection event,0.728658506,
a grammar,another language  things,0.728582438,
model,the model of,0.728425145,
the model of,SEIRD model ,0.728425145,
SIRS ( susceptible ) infection dynamics in a infinite population of households,deterministic  time analogues of  model passage times,0.728152628,
all elements on the row,one,0.7281439,
the effect of,the method,0.727949201,
large numbers of,part of the state of the art,0.727929208,
the network model of ,the process,0.727832477,
many SEIR models,parametric models,0.727801569,
the minimum value of the transmission rate Beta,the significant assumptions,0.727537224,
one of the simplest models,a model,0.727377955,
the effective contact rates,interest in the total number of people,0.727342352,
a model,a way,0.72731285,
a special case of a general model,a language,0.727304787,
a stochastic process for the transmission rate,a flow diagram,0.727094439,
the effective contact rates,the efficacy of interventions,0.726995261,
the elements on ,The details,0.726894106,
the model of,these models,0.726887177,
the model of,These models,0.726887177,
the form S,the state,0.72638704,
the network model of ,the SIR model,0.726167149,
many SEIR models,the model of,0.725886766,
the flow from patch,migration between patches,0.72587268,
an exposed infectious class,one infection event,0.725400499,
a model,the state of our model,0.725277182,
the system,The following,0.725141343,
two metapopulation SEIR models,a stochastic model of genealogies,0.724297146,
the form S,interest in the total number of people,0.72413627,
one of the simplest models,the form S,0.72411761,
the simplest models,a model,0.724111949,
birth of in this model,alternative forms for the process,0.72399382,
one of the simplest models,a way,0.72382605,
The details,the number of recovery events,0.723606474,
the model of,the number of infection events,0.723453853,
( https:doiorg  ),[ epicookbook chapters  intro ) ),0.723397463,
an clear [ wiki  Newick_format ) of this grammar,a language,0.72333172,
The model in a closed population,The following,0.723203487,
a special case of a general model,the number of susceptible individuals,0.72301743,
each time step,a way,0.722896771,
The model in a closed population,deterministic  time analogues of  model passage times,0.722842083,
the probability of all paths,a stochastic model of genealogies,0.722654012,
the effect of,the significant assumptions,0.722475006,
the method,The following,0.722250135,
outflow of each patch,part of the state of the art,0.722191807,
the process,The details,0.721861909,
a stochastic process for these parameters,numerous extensions to the coalescent,0.721832952,
outflow of each patch,a record of the number of infection,0.721720784,
a grammar,an clear [ wiki  Newick_format ) of this grammar,0.721657638,
outflow of each patch,each time step,0.720960573,
each time step,alternative forms for the process,0.720880862,
Beta rate of rate,rate immunity,0.720838351,
the effect of,The probabilities,0.720423647,
the minimum value of the transmission rate Beta,the process,0.720316624,
The model in a closed population,One way,0.720223607,
all elements of C,the number of susceptible individuals,0.720043432,
the method,the established ways,0.720037721,
the elements on ,the number of infection events,0.719817878,
all elements on the row,The details,0.719559415,
the effective contact rates,a record of the number of infection,0.719532209,
each time step,state variables with a system of,0.719508419,
one of the simplest models,each time step,0.719471917,
they,it,0.719315094,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the minimum value of the transmission rate Beta,0.719297824,
Beta rate of rate,a stochastic process for the transmission rate,0.719266223,
outflow of each patch,all elements of C,0.719043546,
these models,these parameters,0.718824015,
these parameters,These models,0.718824015,
one of the simplest models,the states,0.718797608,
the network model of ,the number of infection events,0.718430382,
the simplest models,Model description,0.71817575,
a Binomial distribution with k,the minimum value of the transmission rate Beta,0.718134314,
the minimum value of the transmission rate Beta,the method,0.716983491,
each time step,interest in the total number of people,0.716913313,
a record of the number of infection,an clear [ wiki  Newick_format ) of this grammar,0.716848612,
a capita rate Gamma,a constant total population size ,0.716722188,
the flow from patch,the rate of transmission between individuals in the population,0.716673649,
it,you,0.716595202,
state variables with a system of,the form S,0.716465753,
deterministic  time analogues of  model passage times,the network model of ,0.716461545,
a stochastic process for the transmission rate,the number of susceptible individuals,0.71613883,
all elements of C,the form S,0.715963265,
the flow from patch,state variables with a system of,0.715879189,
state variables with a system of,an clear [ wiki  Newick_format ) of this grammar,0.715878939,
all elements on the row,the model of,0.715441431,
The susceptible model,the SIR model,0.71542918,
model,the simplest models,0.715284892,
the simplest models,SEIRD model ,0.715284892,
a stochastic process for the transmission rate,a way,0.715161285,
the number of parasites per host,one of the simplest models,0.71496192,
many SEIR models,These features,0.714817405,
a constant total population size ,the number of susceptible individuals,0.714647282,
large numbers of,proportions of ,0.714627215,
each time step,a record of the number of infection,0.714559837,
one of the simplest models,the efficacy of interventions,0.714530065,
part of the state of the art,an clear [ wiki  Newick_format ) of this grammar,0.714314938,
( Z _ Z _ ),Z Z,0.714181513,
the elements on ,the minimum value of the transmission rate Beta,0.713978489,
deterministic  time analogues of  model passage times,the number of recovery events,0.713931912,
birth of in this model,the efficacy of interventions,0.713889756,
Model description,The susceptible model,0.713806035,
compartmental models,other models,0.713707889,
the efficacy of interventions,forecasting of in,0.712726646,
the effective contact rates,downward drift on the transmission rate,0.712474326,
the effect of,The details,0.712406224,
all elements on the row,The model in a closed population,0.712226669,
the elements on ,the network model of ,0.712190542,
one of the simplest models,all elements of C,0.712173434,
alternative forms for the process,the state,0.712157586,
birth of in this model,the SIR model,0.7119828,
the model of,the method,0.711944886,
outflow of each patch,interest in the total number of people,0.711826357,
deterministic  time analogues of  model passage times,The susceptible model,0.711721636,
a stochastic process for the transmission rate,part of the state of the art,0.711463495,
a stochastic process for these parameters,a record of the number of infection,0.71123356,
forecasting of in,the number of susceptible individuals,0.711209598,
the number of infection events,the significant assumptions,0.711130207,
interest in the total number of people,numerous extensions to the coalescent,0.711029585,
all elements on the row,the minimum value of the transmission rate Beta,0.710979816,
deterministic  time analogues of  model passage times,the effect of,0.710856141,
This code,The implementation in this section,0.710724932,
( ie inverse of mean incubation period,the rate of transmission between individuals in the population,0.710656879,
the state of our model,a way,0.710489303,
outflow of each patch,migration between patches,0.710393369,
deterministic  time analogues of  model passage times,the significant assumptions,0.710328809,
Beta rate of rate,downward drift on the transmission rate,0.710194688,
the flow from patch,a record of the number of infection,0.709961681,
birth of in this model,an clear [ wiki  Newick_format ) of this grammar,0.709726821,
Model description,the SIR model,0.709444041,
a special case of a general model,the SIR model,0.709125811,
that model times,state variables with a system of,0.709117545,
part of the state of the art,a way,0.709082609,
the number of infection events,The probabilities,0.709055929,
the flow from patch,part of the state of the art,0.709047835,
many SEIR models,a stochastic model of genealogies,0.708991375,
birth of in this model,this process,0.708976591,
The implementation in this section,a way,0.708920604,
the method,The probabilities,0.708875701,
the probability of all paths,the state,0.708485278,
Parameters,parameters as transmission rates,0.708325176,
that model times,a stochastic process for the transmission rate,0.708324603,
SIRS ( susceptible ) infection dynamics in a infinite population of households,the dynamics of the Ebola virus,0.708211265,
the method,the state of our model,0.708170384,
the elements on ,the system,0.708007292,
the flow from patch,a stochastic process for the transmission rate,0.707782139,
the number of parasites per host,a constant total population size ,0.707636953,
the minimum value of the transmission rate Beta,The following,0.707568608,
state variables with a system of,forecasting of in,0.707393435,
proportions of ,interest in the total number of people,0.707234007,
all elements on the row,the process,0.707220757,
other models,a stochastic model of genealogies,0.707039306,
state variables with a system of,this process,0.70690935,
One way,The implementation in this section,0.706738244,
One way,which,0.706654414,
rate case fatality ratio ( proportion rate (,parameters as transmission rates,0.706613132,
all elements on the row,all paths,0.706576509,
The implementation in this section,the significant assumptions,0.706550779,
the flow from patch,downward drift on the transmission rate,0.706390498,
The model in a closed population,the significant assumptions,0.70630683,
a special case of a general model,the probability of all paths,0.705782124,
a recovery event,a way,0.70563984,
alternative forms for the process,a way,0.704974762,
The model in a closed population,one,0.704824376,
model,the SIR model,0.704699883,
SEIRD model ,the SIR model,0.704699883,
a simple SIR model,a stochastic model of genealogies,0.7045659,
the elements on ,the method,0.704292201,
SIRS ( susceptible ) infection dynamics in a infinite population of households,The susceptible model,0.704241521,
the rate of transmission between individuals in the population,a stochastic process for these parameters,0.704137154,
models,a model,0.704086578,
state variables with a system of,numerous extensions to the coalescent,0.70392644,
The model in a closed population,the process,0.703850564,
a special case of a general model,large numbers of,0.703769156,
the efficacy of interventions,a stochastic process for the transmission rate,0.70373414,
a record of the number of infection,a stochastic model of genealogies,0.703626814,
the process,the number of infection events,0.703477074,
deterministic  time analogues of  model passage times,The probabilities,0.703446172,
the number of susceptible individuals,one infection event,0.703257879,
the effective contact rates,Beta rate of rate,0.702925786,
the number of recovery events,the system,0.702828768,
the form S,the number of susceptible individuals,0.702691575,
