file_location,variable,KMeansLabels,DBSCANLabels
epicookbook/src/ExactRecursiveExpressions.jl,Z4,5,26
epicookbook/src/ExactRecursiveExpressions.jl,Z5,5,26
epicookbook/src/MacroParasiteModel.jl,H,5,1
epicookbook/src/MacroParasiteModel.jl,macro_odeProblem,16,-1
epicookbook/src/MacroParasiteModel.jl,tspan,6,15
epicookbook/src/NHosts1Vector.jl,E_Hs,5,19
epicookbook/src/NHosts1Vector.jl,H_comps,12,1
epicookbook/src/NHosts1Vector.jl,host,19,1
epicookbook/src/NHosts1Vector.jl,host_1,19,1
epicookbook/src/NHosts1Vector.jl,host_2,19,1
epicookbook/src/NHosts1Vector.jl,host_3,19,1
epicookbook/src/NHosts1Vector.jl,host_4,19,1
epicookbook/src/NHosts1Vector.jl,host_infection,19,1
epicookbook/src/NHosts1Vector.jl,host_mortality,19,5
epicookbook/src/NHosts1Vector.jl,host0,19,1
epicookbook/src/NHosts1Vector.jl,I_Hs,19,12
epicookbook/src/NHosts1Vector.jl,p,33,1
epicookbook/src/NHosts1Vector.jl,R_Hs,12,19
epicookbook/src/NHosts1Vector.jl,S_Hs,18,23
epicookbook/src/NHosts1Vector.jl,vec_births,21,16
epicookbook/src/NHosts1Vector.jl,vec_infection,19,1
epicookbook/src/NHosts1Vector.jl,vec_mortality,20,5
epicookbook/src/NHostsMVectors.jl,E_Hs,19,19
epicookbook/src/NHostsMVectors.jl,host_1,19,1
epicookbook/src/NHostsMVectors.jl,virus_1,19,1
epicookbook/src/OneHostSEIR1Vect.jl,host_births,19,16
epicookbook/src/OneHostSEIR1Vect.jl,host_progression,19,1
epicookbook/src/OneHostSEIR1Vect.jl,prob,33,1
epicookbook/src/SEIRmodel.jl,I,28,12
epicookbook/src/SemiParamSIRJulia.jl,sigma_spsir,31,24
epicookbook/src/SemiParamSIRJulia.jl,spsir_bm,31,24
epicookbook/src/SemiParamSIRJulia.jl,spsir_bm_prob,31,24
epicookbook/src/SemiParamSIRJulia.jl,spsir_bm_sol,31,24
epicookbook/src/SemiParamSIRJulia.jl,spsir_logbm_drift,31,24
epicookbook/src/SemiParamSIRJulia.jl,spsir_logbm_drift_prob,31,24
epicookbook/src/SIRModel.jl,sir_prob,31,24
epicookbook/src/SIRModel.jl,sir_prob2,31,24
epicookbook/src/SIRModel.jl,sir_sol,31,24
epicookbook/src/SISModel.jl,gamma,27,5
epicookbook/src/SISModel.jl,infected_ind,2,4
epicookbook/src/SISModel.jl,sis_prob,16,29
epicookbook/src/SISModel.jl,sis_sol,16,29
epicookbook/src/SISModel.jl,susceptible,2,4
