recipe_url,phrase,wikipedia_url,wikipedia_definition,academic_doi,academic_definition,
http://epirecip.es/epicookbook/chapters/stochastic,uniformization ,https://en.wikipedia.org/wiki/Uniformization_(probability_theory),"In probability theory, uniformization method, (also known as Jensen's method[1] or the randomization method[2]) is a method to compute transient solutions of finite state continuous-time Markov chains, by approximating the process by a discrete time Markov chain.[2] The original chain is scaled by the fastest transition rate γ, so that transitions occur at the same rate in every state, hence the name uniformisation. The method is simple to program and efficiently calculates an approximation to the transient distribution at a single point in time (near zero).",,,
http://epirecip.es/epicookbook/chapters/stochastic,discrete time steps,https://en.wikipedia.org/wiki/Discrete_time_and_continuous_time,"Discrete time views values of variables as occurring at distinct, separate ""points in time"", or equivalently as being unchanged throughout each non-zero region of time (""time period"")—that is, time is viewed as a discrete variable. Thus a non-time variable jumps from one value to another as time moves from one time period to the next.",,,
http://epirecip.es/epicookbook/chapters/stochastic,tau leaping,https://en.wikipedia.org/wiki/Tau-leaping,"In probability theory, tau-leaping, or τ-leaping, is an approximate method for the simulation of a stochastic system.[1] It is based on the Gillespie algorithm, performing all reactions for an interval of length tau before updating the propensity functions.[2] By updating the rates less often this sometimes allows for more efficient simulation and thus the consideration of larger systems.",,,
http://epirecip.es/epicookbook/chapters/stochastic,stochastic differential equation,https://en.wikipedia.org/wiki/Stochastic_differential_equation,"A stochastic differential equation (SDE) is a differential equation in which one or more of the terms is a stochastic process, resulting in a solution which is also a stochastic process. SDEs are used to model various phenomena such as unstable stock prices or physical systems subject to thermal fluctuations. Typically, SDEs contain a variable which represents random white noise calculated as the derivative of Brownian motion or the Wiener process. However, other types of random behaviour are possible, such as jump processes.",,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-continuoustime/intro,continous time,https://en.wikipedia.org/wiki/Discrete_time_and_continuous_time,"Continuous time views variables as having a particular value for potentially only an infinitesimally short amount of time. Between any two points in time there are an infinitenumber of other points in time. The variable ""time"" ranges over the entire real number line, or depending on the context, over some subset of it such as the non-negative reals. Thus time is viewed as a continuous variable.",,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-continuoustime/intro,discrete state (space),https://en.wikipedia.org/wiki/Discrete_system,A discrete system is a system with a countable number of states.,,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-continuoustime/intro,stochastic,https://en.wikipedia.org/wiki/Stochastic,The word stochastic is an adjective in English that describes something that was randomly determined,,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-discretetime/intro,discrete time,https://en.wikipedia.org/wiki/Discrete_time_and_continuous_time,"Discrete time views values of variables as occurring at distinct, separate ""points in time"", or equivalently as being unchanged throughout each non-zero region of time (""time period"")—that is, time is viewed as a discrete variable. Thus a non-time variable jumps from one value to another as time moves from one time period to the next.",,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-discretetime/intro,discrete state (space),https://en.wikipedia.org/wiki/Discrete_system,A discrete system is a system with a countable number of states.,,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-discretetime/intro,stochastic,https://en.wikipedia.org/wiki/Stochastic,The word stochastic is an adjective in English that describes something that was randomly determined,,,
http://epirecip.es/epicookbook/chapters/sir-stochastic-discretestate-discretetime/intro,SIR model,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"In 1927, W. O. Kermack and A. G. McKendrick created a model in which they considered a fixed population with only three compartments: susceptible, S(t); infected, I(t); and removed, R(t). S(t) is used to represent the number of individuals not yet infected with the disease at time t, or those susceptible to the disease.I(t) denotes the number of individuals who have been infected with the disease and are capable of spreading the disease to those in the susceptible category. R(t) is the compartment used for those individuals who have been infected and then removed from the disease, either due to immunization or due to death. Those in this category are not able to be infected again or to transmit the infection to others.",https://royalsocietypublishing.org/doi/abs/10.1098/rspa.1927.0118,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,stochastic,https://en.wikipedia.org/wiki/Stochastic,The word stochastic is an adjective in English that describes something that was randomly determined,,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,SEIRD model,https://www.researchgate.net/publication/268227345_Modeling_Post-death_Transmission_of_Ebola_Challenges_for_Inference_and_Opportunities_for_Control,"In comparison to an SEIR model, an SEIRD model  includes an additional transmission route:  dead individuals can transmit EVD to susceptible individuals at a rate βD over a period of infectiousness, after which they are permanently removed from the system via burial or loss of infectiousness.",,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,waning immunity,https://medical-dictionary.thefreedictionary.com/waning+immunity,Waning immunity is the progressive loss of protective antibodies against an antigen or disease that occurs with the passage of time. It is a crucial factor in vaccination. Booster doses of a vaccine are given when the immune response to an antigen drops below protective levels.,,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,Susceptible individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals not yet infected with the disease at time t, or those susceptible to the disease.",,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,exposed but not yet contagious,https://wiki.ecdc.europa.eu/fem/w/wiki/1201.key-definitions-in-infectious-diseases-epidemiology,The latent period is the period between exposure and infection during which there are no clinical symptoms or signs of infection in the host.,,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,recovered individuals,https://en.wikipedia.org/wiki/Mathematical_modelling_of_infectious_disease,"Individuals who have been infected and then removed from the disease, either due to immunization or due to death. Those in this category are not able to be infected again or to transmit the infection to others",,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,incubation period,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,"A period of subclinical or inapparent pathologic changes following exposure, ending with the onset of symptoms of infectious disease.",,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,case fatality rate,https://en.wikipedia.org/wiki/Case_fatality_rate,"In epidemiology, a case fatality rate (CFR)—or case fatality risk, case fatality ratio or just fatality rate—is the proportion of deaths within a designated population of ""cases"" (people with a medical condition) over the course of the disease. A CFR is conventionally expressed as a percentage and represents a measure of risk. CFRs are most often used for diseases with discrete, limited time courses, such as outbreaks of acute infections.",,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,imported case,https://www.cdc.gov/ophss/csels/dsepd/ss1978/lesson1/section5.html,An imported case has its source outside the country or state,,,
http://epirecip.es/epicookbook/chapters/seird-stochastic-discretestate-discretetime/intro,mortality rate,https://en.wikipedia.org/wiki/Case_fatality_rate,"A mortality rate—often confused with a CFR—is a measure of the number of deaths (in general, or due to a specific cause) in a population, scaled to the size of that population, per unit of time",,,
http://epirecip.es/epicookbook/chapters/blackross2015/intro,recursive expression,https://en.wikipedia.org/wiki/Recursion_(computer_science),"A recursive function definition has one or more base cases, meaning input(s) for which the function produces a result trivially (without recurring), and one or more recursive cases, meaning input(s) for which the program recurs (calls itself)",,,
http://epirecip.es/epicookbook/chapters/blackross2015/intro,closed population ,https://study.com/academy/lesson/open-closed-populations-characteristics-differences-in-growth-patterns.html,A closed population is a group this is not able to exchange members with different populations over time. The population can grow only through new individuals being born and will only lose members through death. ,https://doi.org/10.1016/j.jtbi.2014.11.029,,
http://epirecip.es/epicookbook/chapters/blackross2015/intro,final size,https://books.google.com/books?id=gcP5l1a22rQC&pg=PA112&lpg=PA112&dq=epidemiology+final+size&source=bl&ots=PjirgNFOgW&sig=lf-EAcc40A73XvoqvlFLufZzaLU&hl=en&sa=X&ved=2ahUKEwjx4obnk6rfAhXuY98KHSVDDm0Q6AEwB3oECAAQAQ#v=onepage&q=epidemiology%20final%20size&f=false,The final size is the total number of cases during the course of an epidemic.,https://doi.org/10.1016/j.jtbi.2014.11.029,,
http://epirecip.es/epicookbook/chapters/blackross2015/intro,compartment,https://wiki.eclipse.org/Introduction_to_Compartment_Models,"Models of the behavior of an infectious disease in a large population of people consider each individual as being in a particular state. These states are often called compartments, and the corresponding models are called compartment models",https://doi.org/10.1016/j.jtbi.2014.11.029,,
http://epirecip.es/epicookbook/chapters/blackross2015/intro,distribution,https://en.wikipedia.org/wiki/Distribution#In_mathematics,The probability of a particular value or value range of a variable,https://doi.org/10.1016/j.jtbi.2014.11.029,,
http://epirecip.es/epicookbook/chapters/nonexponential,exponential distribution,https://en.wikipedia.org/wiki/Exponential_distribution,"In probability theory and statistics, the exponential distribution (also known as the negative exponential distribution) is the probability distribution that describes the time between events in a Poisson point process, i.e., a process in which events occur continuously and independently at a constant average rate.",,,
http://epirecip.es/epicookbook/chapters/nonexponential,variance,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,"A measure of the dispersion shown by a set of observations, defined by the sum of the squares of deviations from the mean, divided by the number of degrees of freedom in the set of observations.",,,
http://epirecip.es/epicookbook/chapters/nonexponential,method of stages,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5220080&tag=1,"The device of stages is a method of representing a non-exponentially distributed state by a combination of stages each of which is exponentially distributed. The method, therefore, represents a non-Markovian model by an equivalent Markovian model which is generally simpler to solve.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5220080&tag=1,"The device of stages is a method of representing a non-exponentially distributed state by a combination of stages each of which is exponentially distributed. The method, therefore, represents a non-Markovian model by an equivalent Markovian model which is generally simpler to solve.",
http://epirecip.es/epicookbook/chapters/nonexponential,partial differential equation,https://en.wikipedia.org/wiki/Partial_differential_equation,"In mathematics, a partial differential equation (PDE) is a differential equation that contains beforehand unknown multivariable functions and their partial derivatives",,,
http://epirecip.es/epicookbook/chapters/nonexponential,integral equation ,https://en.wikipedia.org/wiki/Integral_equation,"In mathematics, integral equations are equations in which an unknown function appears under an integral sign.",,,
http://epirecip.es/epicookbook/chapters/nonexponential,discrete-event simulation,https://en.wikipedia.org/wiki/Discrete_event_simulation,"A discrete-event simulation (DES) models the operation of a system as a discrete sequence of events in time. Each event occurs at a particular instant in time and marks a change of state in the system.[1] Between consecutive events, no change in the system is assumed to occur; thus the simulation can directly jump in time from one event to the next.",,,
http://epirecip.es/epicookbook/chapters/nonexponential,deterministic ,https://en.wikipedia.org/wiki/Deterministic_system,"In mathematics, computer science and physics, a deterministic system is a system in which no randomness is involved in the development of future states of the system.[1]A deterministic model will thus always produce the same output from a given starting condition or initial state",,,
http://epirecip.es/epicookbook/chapters/erlang/intro,Erlang distribution,https://en.wikipedia.org/wiki/Erlang_distribution,"The Erlang distribution is the distribution of the sum of k independent and identically distributed random variables each having an exponential distribution. The long-run rate at which events occur is the reciprocal of the expectation of {\displaystyle X}, that is {\displaystyle \lambda /k}",https://doi.org/10.1080/17513758.2017.1401677,,
http://epirecip.es/epicookbook/chapters/erlang/intro,method of stages,method of stages,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5220080&tag=1,"The device of stages is a method of representing a non-exponentially distributed state by a combination of stages each of which is exponentially distributed. The method, therefore, represents a non-Markovian model by an equivalent Markovian model which is generally simpler to solve.",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5220080&tag=1,"The device of stages is a method of representing a non-exponentially distributed state by a combination of stages each of which is exponentially distributed. The method, therefore, represents a non-Markovian model by an equivalent Markovian model which is generally simpler to solve."
http://epirecip.es/epicookbook/chapters/erlang/intro,non-exponential passage times,https://www.nature.com/articles/s41598-018-32961-7,"A stochastic process in which inter-event times are not exponentially distributed is not strictly Markovian because, as well as depending on the current state of the system, the choice and timing of the next event depend on how long the process has been in its current state.",https://doi.org/10.1080/17513758.2017.1401677,,
http://epirecip.es/epicookbook/chapters/hostvector,(disease) vector,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,An animate intermediary in the indirect transmission of an agent that carries the agent from a reservoir to a susceptible host.,,,
http://epirecip.es/epicookbook/chapters/hostvector,ODE,https://en.wikipedia.org/wiki/Ordinary_differential_equation,"In mathematics, an ordinary differential equation (ODE) is a differential equation containing one or more functions of one independent variable and its derivatives. The term ordinary is used in contrast with the term partial differential equation which may be with respect to more than one independent variable",,,
http://epirecip.es/epicookbook/chapters/hostvector,heterogeneous mixing,https://pdfs.semanticscholar.org/534c/f4b93fa30489481a329b83015a8d360118f9.pdf,"However, it does not include the possibility of subgroups with different activity levels and heterogeneous mixing between subgroups. This possibility can be included in a heterogeneous mixing age of infection model",,,
http://epirecip.es/epicookbook/chapters/macroparasite,macroparasite,https://en.wikipedia.org/wiki/Parasitism,Macroparasites are the multicellular organisms that reproduce and complete their life cycle outside of the host or on the host's body,,,
http://epirecip.es/epicookbook/chapters/macroparasite,direct transmission,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,The immediate transfer of an agent from a reservoir to a susceptible host by direct contact or droplet spread.,https://doi.org/10.1016/j.epidem.2014.08.007,,
http://epirecip.es/epicookbook/chapters/macroparasite,parasite load,https://en.wikipedia.org/wiki/Parasite_load,Parasite load is a measure of the number and virulence of the parasites that a host organism harbours,https://doi.org/10.1016/j.epidem.2014.08.007,,
http://epirecip.es/epicookbook/chapters/macroparasite,host,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,A person or other living organism that can be infected by an infectious agent under natural conditions.,,,
http://epirecip.es/epicookbook/chapters/macroparasite,parasite,https://en.wikipedia.org/wiki/Parasitism,"In evolutionary biology, parasitism is a relationship between species, where one organism, the parasite, lives on or in another organism, the host, causing it some harm, and is adapted structurally to this way of life",,,
http://epirecip.es/epicookbook/chapters/macroparasite,indirect transmission,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,The transmission of an agent carried from a reservoir to a susceptible host by suspended air particles or by animate (vector) or inanimate (vehicle) intermediaries.,https://doi.org/10.1016/j.epidem.2014.08.007,,
http://epirecip.es/epicookbook/chapters/mayanderson1978/intro,negative binomial distribution,https://en.wikipedia.org/wiki/Negative_binomial_distribution,"In probability theory and statistics, the negative binomial distribution is a discrete probability distribution of the number of successes in a sequence of independent and identically distributed Bernoulli trials before a specified (non-random) number of failures (denoted r) occurs",,,
http://epirecip.es/epicookbook/chapters/mayanderson1978/intro,macroparasite,https://en.wikipedia.org/wiki/Parasitism,Macroparasites are the multicellular organisms that reproduce and complete their life cycle outside of the host or on the host's body,,,
http://epirecip.es/epicookbook/chapters/mayanderson1978/intro,host,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,A person or other living organism that can be infected by an infectious agent under natural conditions.,,,
http://epirecip.es/epicookbook/chapters/mayanderson1978/intro,parasite,https://en.wikipedia.org/wiki/Parasitism,"In evolutionary biology, parasitism is a relationship between species, where one organism, the parasite, lives on or in another organism, the host, causing it some harm, and is adapted structurally to this way of life",,,
http://epirecip.es/epicookbook/chapters/sirforced/intro,seasonality,http://www.cs.columbia.edu/digigov/LEXING/CDCEPI/gloss.html,Change in physiological status or in disease occurrence that conforms to a regular seasonal pattern.,,,
http://epirecip.es/epicookbook/chapters/semiparametric/intro,semi-parametric model,https://en.wikipedia.org/wiki/Semiparametric_model,"In statistics, a semiparametric model is a statistical model that has parametric and nonparametric components.",,,
http://epirecip.es/epicookbook/chapters/semiparametric/intro,compartmental model,https://en.wikipedia.org/wiki/Multi-compartment_model,A multi-compartment model is a type of mathematical model used for describing the way materials or energies are transmitted among the compartments of a system. Each compartment is assumed to be a homogeneous entity within which the entities being modelled are equivalent.,,,
http://epirecip.es/epicookbook/chapters/semiparametric/intro,drift,https://en.wikipedia.org/wiki/Drift,A linear term of a stochastic process.,,,
http://epirecip.es/epicookbook/chapters/semiparametric/intro,Brownian motion,https://en.wikipedia.org/wiki/Brownian_motion,"Brownian motion is the random motion of particles suspended in a fluid (a liquid or a gas) resulting from their collision with the fast-moving molecules in the fluid. In the general case, Brownian motion is a non-Markov random process and described by stochastic integral equations.",,,
http://epirecip.es/epicookbook/chapters/semiparametric/intro,Gaussian process,https://en.wikipedia.org/wiki/Gaussian_process,"In probability theory and statistics, a Gaussian process is a stochastic process (a collection of random variables indexed by time or space), such that every finite collection of those random variables has a multivariate normal distribution, i.e. every finite linear combination of them is normally distributed.",,,
http://epirecip.es/epicookbook/chapters/metapopulation,metapopulation model,https://en.wikipedia.org/wiki/Metapopulation,A metapopulation consists of a group of spatially separated populations of the same species which interact at some level.,https://doi.org/10.1016/j.epidem.2014.08.001,,
http://epirecip.es/epicookbook/chapters/metapopulation,pathogen,https://en.wikipedia.org/wiki/Pathogen,"In biology, a pathogen is an infectious agent, or a germ in the oldest and broadest sense is anything that can produce disease; the term came into use in the 1880s. Typically the term is used to describe an infectious microorganism or agent, such as a virus, bacterium, protozoa, prion, or fungus.[3][4] The scientific study of these organisms is called microbiology, while the study of disease that may include these pathogens is called pathology.",https://doi.org/10.1016/j.epidem.2014.08.001,,
http://epirecip.es/epicookbook/chapters/network,well-mixed,https://web.stanford.edu/~jhj1/teachingdocs/Jones-on-R0.pdf,A well-mixed population is one where any infected individual has a probability of contacting any susceptible individual that is reasonably well approximated by the average.,,,
http://epirecip.es/epicookbook/chapters/network,pair approximations,https://www.ncbi.nlm.nih.gov/pubmed/11403564,"Pair approximation has frequently proved effective for deriving qualitative information about lattice-based stochastic spatial models for population, epidemic and evolutionary dynamics. Pair approximation is a moment closure method in which the mean-field description is supplemented by approximate equations for the frequencies of neighbor-site pairs of each possible type. ",https://doi.org/10.1098/rspb.1997.0159,,
